Date,Average_Price
01/01/1995,55436.7907
01/01/1996,56575.90284
01/01/1997,60698.40391
01/01/1998,66231.23429
01/01/1999,72903.17681
01/01/2000,84619.7588
01/01/2001,93135.97812
01/01/2002,97623.26629
01/01/2003,124836.384
01/01/2004,136976.0648
01/01/2005,150633.2057
01/01/2006,159969.9131
01/01/2007,176757.9355
01/01/2008,185781.6316
01/01/2009,157233.924
01/01/2010,167468.9299
01/01/2011,167300.2404
01/01/2012,165908.4809
01/01/2013,167715.5946
01/01/2014,178182.1947
01/01/2015,190664.9416
01/01/2016,205464.2926
01/01/2017,215242.5623
01/01/2018,224543.7559
01/01/2019,228314.4927
01/01/2020,231939.909
01/01/2021,250248.7086
