day,deaths_per_1mppl,cum_deaths_per_1mppl
31/03/2020,36.008,36.008
01/04/2020,45.86,81.868
02/04/2020,55.493,137.361
03/04/2020,66.298,203.659
04/04/2020,77.397,281.056
05/04/2020,86.193,367.249
06/04/2020,94.521,461.77
07/04/2020,110.722,572.492
08/04/2020,125.837,698.329
09/04/2020,142.199,840.528
10/04/2020,158.664,999.192
11/04/2020,171.023,1170.215
12/04/2020,180.656,1350.871
13/04/2020,191.27,1542.141
14/04/2020,207.104,1749.245
15/04/2020,220.036,1969.281
16/04/2020,235.283,2204.564
17/04/2020,248.684,2453.248
18/04/2020,264.899,2718.147
19/04/2020,271.233,2989.38
20/04/2020,279.634,3269.014
21/04/2020,297.579,3566.593
22/04/2020,310.056,3876.649
23/04/2020,320.069,4196.718
24/04/2020,334.95,4531.668
25/04/2020,346.914,4878.582
26/04/2020,352.251,5230.833
27/04/2020,356.942,5587.775
28/04/2020,371.164,5958.939
29/04/2020,382.467,6341.406
30/04/2020,391.792,6733.198
01/05/2020,402.04,7135.238
02/05/2020,410.602,7545.84
03/05/2020,414.312,7960.152
04/05/2020,418.299,8378.451
05/05/2020,428.929,8807.38
06/05/2020,438.415,9245.795
07/05/2020,445.13,9690.925
08/05/2020,453.633,10144.558
09/05/2020,457.665,10602.223
10/05/2020,460.846,11063.069
11/05/2020,463.588,11526.657
12/05/2020,472.605,11999.262
13/05/2020,479.173,12478.435
14/05/2020,484.334,12962.769
15/05/2020,489.465,13452.234
16/05/2020,495.491,13947.725
17/05/2020,496.473,14444.198
18/05/2020,498.614,14942.812
19/05/2020,505.959,15448.771
20/05/2020,510.782,15959.553
21/05/2020,514.785,16474.338
22/05/2020,519.051,16993.389
23/05/2020,522.277,17515.666
24/05/2020,527.834,18043.5
25/05/2020,529.358,18572.858
26/05/2020,531.279,19104.137
27/05/2020,537.466,19641.603
28/05/2020,542.495,20184.098
29/05/2020,546.512,20730.61
30/05/2020,548.77,21279.38
31/05/2020,549.649,21829.029
01/06/2020,550.91,22379.939
02/06/2020,554.576,22934.515
03/06/2020,558.3,23492.815
04/06/2020,560.205,24053.02
05/06/2020,563.988,24617.008
06/06/2020,566.085,25183.093
07/06/2020,566.876,25749.969
08/06/2020,567.565,26317.534
09/06/2020,570.454,26887.988
10/06/2020,572.858,27460.846
11/06/2020,573.972,28034.818
12/06/2020,575.893,28610.711
13/06/2020,577.462,29188.173
14/06/2020,577.858,29766.031
15/06/2020,578.283,30344.314
16/06/2020,580.042,30924.356
17/06/2020,581.655,31506.011
18/06/2020,582.637,32088.648
19/06/2020,583.869,32672.517
20/06/2020,584.91,33257.427
21/06/2020,585.364,33842.791
22/06/2020,585.555,34428.346
23/06/2020,586.933,35015.279
24/06/2020,588.208,35603.487
25/06/2020,589.66,36193.147
26/06/2020,590.789,36783.936
27/06/2020,591.375,37375.311
28/06/2020,591.83,37967.141
29/06/2020,592.138,38559.279
30/06/2020,592.915,39152.194
01/07/2020,594.337,39746.531
02/07/2020,594.938,40341.469
03/07/2020,595.656,40937.125
04/07/2020,596.126,41533.251
05/07/2020,596.404,42129.655
06/07/2020,596.565,42726.22
07/07/2020,597.357,43323.577
08/07/2020,598.193,43921.77
09/07/2020,598.647,44520.417
10/07/2020,599.146,45119.563
11/07/2020,599.395,45718.958
12/07/2020,599.527,46318.485
13/07/2020,599.674,46918.159
14/07/2020,600.319,47518.478
15/07/2020,600.7,48119.178
16/07/2020,601.052,48720.23
17/07/2020,601.433,49321.663
18/07/2020,601.565,49923.228
19/07/2020,601.726,50524.954
20/07/2020,601.873,51126.827
21/07/2020,602.239,51729.066
22/07/2020,602.488,52331.554
23/07/2020,602.62,52934.174
24/07/2020,603.09,53537.264
25/07/2020,603.31,54140.574
26/07/2020,603.427,54744.001
27/07/2020,603.471,55347.472
28/07/2020,603.779,55951.251
29/07/2020,604.277,56555.528
30/07/2020,604.277,57159.805
31/07/2020,604.57,57764.375
01/08/2020,604.761,58369.136
02/08/2020,604.834,58973.97
03/08/2020,604.849,59578.819
04/08/2020,605.113,60183.932
05/08/2020,605.318,60789.25
06/08/2020,605.582,61394.832
07/08/2020,605.758,62000.59
08/08/2020,605.802,62606.392
09/08/2020,605.875,63212.267
10/08/2020,606.139,63818.406
11/08/2020,606.33,64424.736
12/08/2020,606.623,65031.359
13/08/2020,606.887,65638.246
14/08/2020,607.048,66245.294
15/08/2020,607.092,66852.386
16/08/2020,607.165,67459.551
