areaCode,areaName,areaType,date,newCasesBySpecimenDate
E12000001,North East,region,02/10/2021,235
E12000001,North East,region,01/10/2021,1040
E12000001,North East,region,30/09/2021,1147
E12000001,North East,region,29/09/2021,1238
E12000001,North East,region,28/09/2021,1309
E12000001,North East,region,27/09/2021,1502
E12000001,North East,region,26/09/2021,1214
E12000001,North East,region,25/09/2021,1152
E12000001,North East,region,24/09/2021,1251
E12000001,North East,region,23/09/2021,1468
E12000001,North East,region,22/09/2021,1421
E12000001,North East,region,21/09/2021,1663
E12000001,North East,region,20/09/2021,1659
E12000001,North East,region,19/09/2021,1285
E12000001,North East,region,18/09/2021,1046
E12000001,North East,region,17/09/2021,1192
E12000001,North East,region,16/09/2021,1287
E12000001,North East,region,15/09/2021,1323
E12000001,North East,region,14/09/2021,1189
E12000001,North East,region,13/09/2021,1413
E12000001,North East,region,12/09/2021,1040
E12000001,North East,region,11/09/2021,1047
E12000001,North East,region,10/09/2021,1285
E12000001,North East,region,09/09/2021,1505
E12000001,North East,region,08/09/2021,1590
E12000001,North East,region,07/09/2021,1712
E12000001,North East,region,06/09/2021,1867
E12000001,North East,region,05/09/2021,1328
E12000001,North East,region,04/09/2021,1302
E12000001,North East,region,03/09/2021,1506
E12000001,North East,region,02/09/2021,1570
E12000001,North East,region,01/09/2021,1634
E12000001,North East,region,31/08/2021,1686
E12000001,North East,region,30/08/2021,1322
E12000001,North East,region,29/08/2021,966
E12000001,North East,region,28/08/2021,992
E12000001,North East,region,27/08/2021,1167
E12000001,North East,region,26/08/2021,1307
E12000001,North East,region,25/08/2021,1366
E12000001,North East,region,24/08/2021,1396
E12000001,North East,region,23/08/2021,1409
E12000001,North East,region,22/08/2021,1079
E12000001,North East,region,21/08/2021,1009
E12000001,North East,region,20/08/2021,1125
E12000001,North East,region,19/08/2021,1229
E12000001,North East,region,18/08/2021,1252
E12000001,North East,region,17/08/2021,1229
E12000001,North East,region,16/08/2021,1302
E12000001,North East,region,15/08/2021,887
E12000001,North East,region,14/08/2021,920
E12000001,North East,region,13/08/2021,1059
E12000001,North East,region,12/08/2021,1092
E12000001,North East,region,11/08/2021,1170
E12000001,North East,region,10/08/2021,1138
E12000001,North East,region,09/08/2021,1221
E12000001,North East,region,08/08/2021,871
E12000001,North East,region,07/08/2021,896
E12000001,North East,region,06/08/2021,1055
E12000001,North East,region,05/08/2021,1249
E12000001,North East,region,04/08/2021,1323
E12000001,North East,region,03/08/2021,1216
E12000001,North East,region,02/08/2021,1185
E12000001,North East,region,01/08/2021,871
E12000001,North East,region,31/07/2021,877
E12000001,North East,region,30/07/2021,1148
E12000001,North East,region,29/07/2021,1246
E12000001,North East,region,28/07/2021,1415
E12000001,North East,region,27/07/2021,1497
E12000001,North East,region,26/07/2021,1692
E12000001,North East,region,25/07/2021,1236
E12000001,North East,region,24/07/2021,1347
E12000001,North East,region,23/07/2021,1609
E12000001,North East,region,22/07/2021,1864
E12000001,North East,region,21/07/2021,2106
E12000001,North East,region,20/07/2021,2557
E12000001,North East,region,19/07/2021,3401
E12000001,North East,region,18/07/2021,2416
E12000001,North East,region,17/07/2021,2625
E12000001,North East,region,16/07/2021,3874
E12000001,North East,region,15/07/2021,4537
E12000001,North East,region,14/07/2021,4247
E12000001,North East,region,13/07/2021,4093
E12000001,North East,region,12/07/2021,3975
E12000001,North East,region,11/07/2021,2870
E12000001,North East,region,10/07/2021,2829
E12000001,North East,region,09/07/2021,3097
E12000001,North East,region,08/07/2021,3212
E12000001,North East,region,07/07/2021,3682
E12000001,North East,region,06/07/2021,3511
E12000001,North East,region,05/07/2021,3399
E12000001,North East,region,04/07/2021,2411
E12000001,North East,region,03/07/2021,2251
E12000001,North East,region,02/07/2021,2279
E12000001,North East,region,01/07/2021,2550
E12000001,North East,region,30/06/2021,2497
E12000001,North East,region,29/06/2021,2373
E12000001,North East,region,28/06/2021,2268
E12000001,North East,region,27/06/2021,1595
E12000001,North East,region,26/06/2021,1328
E12000001,North East,region,25/06/2021,1497
E12000001,North East,region,24/06/2021,1361
E12000001,North East,region,23/06/2021,1321
E12000001,North East,region,22/06/2021,1176
E12000001,North East,region,21/06/2021,1069
E12000001,North East,region,20/06/2021,680
E12000001,North East,region,19/06/2021,614
E12000001,North East,region,18/06/2021,705
E12000001,North East,region,17/06/2021,739
E12000001,North East,region,16/06/2021,643
E12000001,North East,region,15/06/2021,638
E12000001,North East,region,14/06/2021,660
E12000001,North East,region,13/06/2021,400
E12000001,North East,region,12/06/2021,355
E12000001,North East,region,11/06/2021,397
E12000001,North East,region,10/06/2021,394
E12000001,North East,region,09/06/2021,365
E12000001,North East,region,08/06/2021,309
E12000001,North East,region,07/06/2021,293
E12000001,North East,region,06/06/2021,213
E12000001,North East,region,05/06/2021,154
E12000001,North East,region,04/06/2021,190
E12000001,North East,region,03/06/2021,218
E12000001,North East,region,02/06/2021,151
E12000001,North East,region,01/06/2021,129
E12000001,North East,region,31/05/2021,90
E12000001,North East,region,30/05/2021,85
E12000001,North East,region,29/05/2021,100
E12000001,North East,region,28/05/2021,100
E12000001,North East,region,27/05/2021,92
E12000001,North East,region,26/05/2021,93
E12000001,North East,region,25/05/2021,92
E12000001,North East,region,24/05/2021,78
E12000001,North East,region,23/05/2021,79
E12000001,North East,region,22/05/2021,53
E12000001,North East,region,21/05/2021,63
E12000001,North East,region,20/05/2021,65
E12000001,North East,region,19/05/2021,79
E12000001,North East,region,18/05/2021,92
E12000001,North East,region,17/05/2021,98
E12000001,North East,region,16/05/2021,73
E12000001,North East,region,15/05/2021,48
E12000001,North East,region,14/05/2021,62
E12000001,North East,region,13/05/2021,77
E12000001,North East,region,12/05/2021,74
E12000001,North East,region,11/05/2021,94
E12000001,North East,region,10/05/2021,67
E12000001,North East,region,09/05/2021,97
E12000001,North East,region,08/05/2021,59
E12000001,North East,region,07/05/2021,73
E12000001,North East,region,06/05/2021,81
E12000001,North East,region,05/05/2021,86
E12000001,North East,region,04/05/2021,115
E12000001,North East,region,03/05/2021,68
E12000001,North East,region,02/05/2021,54
E12000001,North East,region,01/05/2021,50
E12000001,North East,region,30/04/2021,67
E12000001,North East,region,29/04/2021,68
E12000001,North East,region,28/04/2021,80
E12000001,North East,region,27/04/2021,99
E12000001,North East,region,26/04/2021,105
E12000001,North East,region,25/04/2021,89
E12000001,North East,region,24/04/2021,56
E12000001,North East,region,23/04/2021,74
E12000001,North East,region,22/04/2021,57
E12000001,North East,region,21/04/2021,102
E12000001,North East,region,20/04/2021,79
E12000001,North East,region,19/04/2021,94
E12000001,North East,region,18/04/2021,92
E12000001,North East,region,17/04/2021,65
E12000001,North East,region,16/04/2021,87
E12000001,North East,region,15/04/2021,74
E12000001,North East,region,14/04/2021,92
E12000001,North East,region,13/04/2021,56
E12000001,North East,region,12/04/2021,87
E12000001,North East,region,11/04/2021,114
E12000001,North East,region,10/04/2021,78
E12000001,North East,region,09/04/2021,92
E12000001,North East,region,08/04/2021,98
E12000001,North East,region,07/04/2021,115
E12000001,North East,region,06/04/2021,132
E12000001,North East,region,05/04/2021,127
E12000001,North East,region,04/04/2021,103
E12000001,North East,region,03/04/2021,99
E12000001,North East,region,02/04/2021,96
E12000001,North East,region,01/04/2021,147
E12000001,North East,region,31/03/2021,217
E12000001,North East,region,30/03/2021,175
E12000001,North East,region,29/03/2021,222
E12000001,North East,region,28/03/2021,262
E12000001,North East,region,27/03/2021,203
E12000001,North East,region,26/03/2021,204
E12000001,North East,region,25/03/2021,220
E12000001,North East,region,24/03/2021,154
E12000001,North East,region,23/03/2021,148
E12000001,North East,region,22/03/2021,305
E12000001,North East,region,21/03/2021,286
E12000001,North East,region,20/03/2021,211
E12000001,North East,region,19/03/2021,240
E12000001,North East,region,18/03/2021,259
E12000001,North East,region,17/03/2021,301
E12000001,North East,region,16/03/2021,302
E12000001,North East,region,15/03/2021,312
E12000001,North East,region,14/03/2021,201
E12000001,North East,region,13/03/2021,256
E12000001,North East,region,12/03/2021,289
E12000001,North East,region,11/03/2021,300
E12000001,North East,region,10/03/2021,314
E12000001,North East,region,09/03/2021,353
E12000001,North East,region,08/03/2021,335
E12000001,North East,region,07/03/2021,214
E12000001,North East,region,06/03/2021,240
E12000001,North East,region,05/03/2021,272
E12000001,North East,region,04/03/2021,295
E12000001,North East,region,03/03/2021,344
E12000001,North East,region,02/03/2021,317
E12000001,North East,region,01/03/2021,378
E12000001,North East,region,28/02/2021,254
E12000001,North East,region,27/02/2021,281
E12000001,North East,region,26/02/2021,363
E12000001,North East,region,25/02/2021,453
E12000001,North East,region,24/02/2021,434
E12000001,North East,region,23/02/2021,390
E12000001,North East,region,22/02/2021,547
E12000001,North East,region,21/02/2021,405
E12000001,North East,region,20/02/2021,347
E12000001,North East,region,19/02/2021,459
E12000001,North East,region,18/02/2021,576
E12000001,North East,region,17/02/2021,585
E12000001,North East,region,16/02/2021,711
E12000001,North East,region,15/02/2021,719
E12000001,North East,region,14/02/2021,475
E12000001,North East,region,13/02/2021,488
E12000001,North East,region,12/02/2021,556
E12000001,North East,region,11/02/2021,664
E12000001,North East,region,10/02/2021,692
E12000001,North East,region,09/02/2021,677
E12000001,North East,region,08/02/2021,759
E12000001,North East,region,07/02/2021,585
E12000001,North East,region,06/02/2021,574
E12000001,North East,region,05/02/2021,680
E12000001,North East,region,04/02/2021,825
E12000001,North East,region,03/02/2021,860
E12000001,North East,region,02/02/2021,850
E12000001,North East,region,01/02/2021,1003
E12000001,North East,region,31/01/2021,734
E12000001,North East,region,30/01/2021,757
E12000001,North East,region,29/01/2021,874
E12000001,North East,region,28/01/2021,944
E12000001,North East,region,27/01/2021,976
E12000001,North East,region,26/01/2021,1070
E12000001,North East,region,25/01/2021,1176
E12000001,North East,region,24/01/2021,720
E12000001,North East,region,23/01/2021,731
E12000001,North East,region,22/01/2021,965
E12000001,North East,region,21/01/2021,1112
E12000001,North East,region,20/01/2021,1298
E12000001,North East,region,19/01/2021,1256
E12000001,North East,region,18/01/2021,1553
E12000001,North East,region,17/01/2021,945
E12000001,North East,region,16/01/2021,1010
E12000001,North East,region,15/01/2021,1219
E12000001,North East,region,14/01/2021,1225
E12000001,North East,region,13/01/2021,1392
E12000001,North East,region,12/01/2021,1428
E12000001,North East,region,11/01/2021,1686
E12000001,North East,region,10/01/2021,1059
E12000001,North East,region,09/01/2021,1003
E12000001,North East,region,08/01/2021,1148
E12000001,North East,region,07/01/2021,1474
E12000001,North East,region,06/01/2021,1503
E12000001,North East,region,05/01/2021,1732
E12000001,North East,region,04/01/2021,2290
E12000001,North East,region,03/01/2021,1674
E12000001,North East,region,02/01/2021,1763
E12000001,North East,region,01/01/2021,949
E12000001,North East,region,31/12/2020,1561
E12000001,North East,region,30/12/2020,2279
E12000001,North East,region,29/12/2020,2433
E12000001,North East,region,28/12/2020,1435
E12000001,North East,region,27/12/2020,1283
E12000001,North East,region,26/12/2020,976
E12000001,North East,region,25/12/2020,313
E12000001,North East,region,24/12/2020,777
E12000001,North East,region,23/12/2020,1081
E12000001,North East,region,22/12/2020,1143
E12000001,North East,region,21/12/2020,1011
E12000001,North East,region,20/12/2020,753
E12000001,North East,region,19/12/2020,605
E12000001,North East,region,18/12/2020,785
E12000001,North East,region,17/12/2020,648
E12000001,North East,region,16/12/2020,819
E12000001,North East,region,15/12/2020,894
E12000001,North East,region,14/12/2020,903
E12000001,North East,region,13/12/2020,572
E12000001,North East,region,12/12/2020,508
E12000001,North East,region,11/12/2020,648
E12000001,North East,region,10/12/2020,646
E12000001,North East,region,09/12/2020,640
E12000001,North East,region,08/12/2020,719
E12000001,North East,region,07/12/2020,758
E12000001,North East,region,06/12/2020,511
E12000001,North East,region,05/12/2020,418
E12000001,North East,region,04/12/2020,559
E12000001,North East,region,03/12/2020,594
E12000001,North East,region,02/12/2020,641
E12000001,North East,region,01/12/2020,649
E12000001,North East,region,30/11/2020,768
E12000001,North East,region,29/11/2020,455
E12000001,North East,region,28/11/2020,494
E12000001,North East,region,27/11/2020,642
E12000001,North East,region,26/11/2020,704
E12000001,North East,region,25/11/2020,805
E12000001,North East,region,24/11/2020,851
E12000001,North East,region,23/11/2020,970
E12000001,North East,region,22/11/2020,626
E12000001,North East,region,21/11/2020,678
E12000001,North East,region,20/11/2020,941
E12000001,North East,region,19/11/2020,1021
E12000001,North East,region,18/11/2020,1337
E12000001,North East,region,17/11/2020,1466
E12000001,North East,region,16/11/2020,1569
E12000001,North East,region,15/11/2020,1053
E12000001,North East,region,14/11/2020,1051
E12000001,North East,region,13/11/2020,1520
E12000001,North East,region,12/11/2020,1533
E12000001,North East,region,11/11/2020,1857
E12000001,North East,region,10/11/2020,1776
E12000001,North East,region,09/11/2020,2057
E12000001,North East,region,08/11/2020,1293
E12000001,North East,region,07/11/2020,1345
E12000001,North East,region,06/11/2020,1461
E12000001,North East,region,05/11/2020,1482
E12000001,North East,region,04/11/2020,1415
E12000001,North East,region,03/11/2020,1516
E12000001,North East,region,02/11/2020,1672
E12000001,North East,region,01/11/2020,994
E12000001,North East,region,31/10/2020,884
E12000001,North East,region,30/10/2020,1206
E12000001,North East,region,29/10/2020,1120
E12000001,North East,region,28/10/2020,1167
E12000001,North East,region,27/10/2020,1173
E12000001,North East,region,26/10/2020,1318
E12000001,North East,region,25/10/2020,849
E12000001,North East,region,24/10/2020,862
E12000001,North East,region,23/10/2020,1035
E12000001,North East,region,22/10/2020,1227
E12000001,North East,region,21/10/2020,1505
E12000001,North East,region,20/10/2020,1432
E12000001,North East,region,19/10/2020,1409
E12000001,North East,region,18/10/2020,825
E12000001,North East,region,17/10/2020,807
E12000001,North East,region,16/10/2020,1076
E12000001,North East,region,15/10/2020,1166
E12000001,North East,region,14/10/2020,1382
E12000001,North East,region,13/10/2020,1287
E12000001,North East,region,12/10/2020,1383
E12000001,North East,region,11/10/2020,925
E12000001,North East,region,10/10/2020,842
E12000001,North East,region,09/10/2020,1172
E12000001,North East,region,08/10/2020,1368
E12000001,North East,region,07/10/2020,1466
E12000001,North East,region,06/10/2020,1441
E12000001,North East,region,05/10/2020,1367
E12000001,North East,region,04/10/2020,1193
E12000001,North East,region,03/10/2020,1160
E12000001,North East,region,02/10/2020,1217
E12000001,North East,region,01/10/2020,1179
E12000001,North East,region,30/09/2020,957
E12000001,North East,region,29/09/2020,1044
E12000001,North East,region,28/09/2020,970
E12000001,North East,region,27/09/2020,658
E12000001,North East,region,26/09/2020,779
E12000001,North East,region,25/09/2020,605
E12000001,North East,region,24/09/2020,719
E12000001,North East,region,23/09/2020,638
E12000001,North East,region,22/09/2020,548
E12000001,North East,region,21/09/2020,613
E12000001,North East,region,20/09/2020,587
E12000001,North East,region,19/09/2020,433
E12000001,North East,region,18/09/2020,463
E12000001,North East,region,17/09/2020,370
E12000001,North East,region,16/09/2020,329
E12000001,North East,region,15/09/2020,265
E12000001,North East,region,14/09/2020,196
E12000001,North East,region,13/09/2020,141
E12000001,North East,region,12/09/2020,155
E12000001,North East,region,11/09/2020,199
E12000001,North East,region,10/09/2020,235
E12000001,North East,region,09/09/2020,234
E12000001,North East,region,08/09/2020,223
E12000001,North East,region,07/09/2020,203
E12000001,North East,region,06/09/2020,170
E12000001,North East,region,05/09/2020,233
E12000001,North East,region,04/09/2020,176
E12000001,North East,region,03/09/2020,203
E12000001,North East,region,02/09/2020,128
E12000001,North East,region,01/09/2020,117
E12000001,North East,region,31/08/2020,91
E12000001,North East,region,30/08/2020,61
E12000001,North East,region,29/08/2020,78
E12000001,North East,region,28/08/2020,67
E12000001,North East,region,27/08/2020,67
E12000001,North East,region,26/08/2020,68
E12000001,North East,region,25/08/2020,49
E12000001,North East,region,24/08/2020,40
E12000001,North East,region,23/08/2020,23
E12000001,North East,region,22/08/2020,33
E12000001,North East,region,21/08/2020,42
E12000001,North East,region,20/08/2020,42
E12000001,North East,region,19/08/2020,48
E12000001,North East,region,18/08/2020,36
E12000001,North East,region,17/08/2020,32
E12000001,North East,region,16/08/2020,11
E12000001,North East,region,15/08/2020,19
E12000001,North East,region,14/08/2020,31
E12000001,North East,region,13/08/2020,53
E12000001,North East,region,12/08/2020,39
E12000001,North East,region,11/08/2020,45
