observation_date,10ystandardised,snpcompositestandardised
1962-01-01,-0.615869368,-0.814075229
1962-02-01,-0.649165603,-0.817009254
1962-03-01,-0.695780333,-0.815745536
1962-04-01,-0.695780333,-0.815668613
1962-05-01,-0.682461839,-0.818130118
1962-06-01,-0.649165603,-0.823690481
1962-07-01,-0.635847109,-0.831778282
1962-08-01,-0.662484097,-0.830305775
1962-09-01,-0.669143344,-0.828602501
1962-10-01,-0.675802591,-0.829173922
1962-11-01,-0.675802591,-0.831184883
1962-12-01,-0.699109956,-0.826932195
1963-01-01,-0.692450709,-0.824075091
1963-02-01,-0.669143344,-0.821415787
1963-03-01,-0.665813721,-0.820470745
1963-04-01,-0.665813721,-0.820745467
1963-05-01,-0.662484097,-0.817349909
1963-06-01,-0.649165603,-0.815833446
1963-07-01,-0.649165603,-0.815866413
1963-08-01,-0.642506356,-0.817009254
1963-09-01,-0.625858238,-0.814910382
1963-10-01,-0.59922125,-0.812855465
1963-11-01,-0.622528615,-0.812657666
1963-12-01,-0.602550874,-0.813108209
1964-01-01,-0.59922125,-0.811404936
1964-02-01,-0.589232379,-0.808899476
1964-03-01,-0.572584262,-0.807866523
1964-04-01,-0.575913885,-0.806317094
1964-05-01,-0.585902756,-0.805064364
1964-06-01,-0.59922125,-0.804207233
1964-07-01,-0.585902756,-0.804734698
1964-08-01,-0.579243509,-0.801460018
1964-09-01,-0.589232379,-0.802800659
1964-10-01,-0.595891626,-0.80125123
1964-11-01,-0.582573132,-0.799668834
1964-12-01,-0.579243509,-0.799020491
1965-01-01,-0.585902756,-0.800646842
1965-02-01,-0.575913885,-0.798273249
1965-03-01,-0.582573132,-0.79758095
1965-04-01,-0.579243509,-0.79749304
1965-05-01,-0.572584262,-0.79624031
1965-06-01,-0.582573132,-0.794800769
1965-07-01,-0.575913885,-0.799460045
1965-08-01,-0.559265767,-0.799602901
1965-09-01,-0.532628779,-0.797866661
1965-10-01,-0.512651038,-0.79469088
1965-11-01,-0.489343673,-0.79248212
1965-12-01,-0.432740073,-0.791646966
